Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Relative Effort,Commute,Activity Gear,Filename
1871534612,"Sep 28, 2018, 4:49:58 PM",Cooldown,Run,"",1253,4.83,,false,Novas,activities/2004850260.fit.gz
1873441543,"Sep 29, 2018, 3:15:04 PM",Bread and butter saturday,Run,"",3734,14.92,,false,Novas,activities/2006823844.fit.gz
1877668317,"Sep 30, 2018, 6:03:06 PM",One of those perfect days,Run,Felt incredible. Just let my body do it’s thing and progress throughout the run. It was just effortless today. I think my gym regimen is already giving me noticeable results. ,6199,27.38,,false,Novas,activities/2011264583.fit.gz
1880222720,"Oct 2, 2018, 1:07:59 AM",Evening Run,Run,,3791,14.83,,false,Novas,activities/2013883281.fit.gz
1880797341,"Oct 2, 2018, 8:16:42 PM",Afternoon Run,Run,,4346,16.64,,false,Novas,activities/2014470767.fit.gz
1882710047,"Oct 3, 2018, 10:43:20 PM",Warm up,Run,"",1382,5.41,,false,Novas,activities/2016429025.fit.gz
1882710368,"Oct 3, 2018, 11:08:08 PM",Workout,Run,"3 mile tempo 5.13, 5.20, 5.17 off 4 min
Hard mile uphill in 4.37 off 4 min
4x60s hard off 60s",2184,10.44,,false,Novas,activities/2016429338.fit.gz
1882710508,"Oct 3, 2018, 11:46:21 PM",Warm Down,Run,"",1423,5.23,,false,Novas,activities/2016429515.fit.gz
1883988555,"Oct 4, 2018, 3:59:33 PM",Morning Run,Run,"",4293,16.98,,false,Black,activities/2017743697.fit.gz
1886487877,"Oct 5, 2018, 4:31:00 PM",Interlaken Shenanigans,Run,Aaron Nelson of Reebok Zap Fitness was in town so he took me for a nice run around town. Good to explore a new route for once ,4680,18.18,,false,Black,
1888135136,"Oct 6, 2018, 3:50:33 PM",Light Work,Run,Threw in 7x2min off 1min during my run this morning. ,4360,16.48,,false,Black,activities/2022005594.fit.gz
1890887652,"Oct 7, 2018, 3:07:00 PM",Bridge to Bellevue ,Run,Nice recovery long run with some club northwest guys. ,6845,25.38,,false,Black,activities/2024938629.fit.gz
1892931668,"Oct 8, 2018, 9:56:37 PM",Easy Miles with Aaron,Run,"",4661,16.58,,false,Black,activities/2027094432.fit.gz
1895178390,"Oct 9, 2018, 10:57:17 PM",Warmup on a Tuesday,Run,"",1287,4.88,,false,Black,activities/2029400194.fit.gz
1895178632,"Oct 9, 2018, 11:19:27 PM",Gentle Tempo on the Burke,Run,"Good simple work, smooth and steady",2339,11.27,,false,Black,activities/2029400543.fit.gz
1895178740,"Oct 9, 2018, 11:59:42 PM",Long way ,Run,"Took a wrong turn. Lol oops, extra miles on the cooldown 😂",1973,6.71,,false,Black,activities/2029400752.fit.gz
1898884602,"Oct 11, 2018, 8:00:40 PM",Afternoon Run,Run,,3857,14.85,,false,Black,activities/2033220161.fit.gz
1898884955,"Oct 10, 2018, 11:06:40 PM",Afternoon Run,Run,,3812,14.86,,false,Black,activities/2033220527.fit.gz
1900649681,"Oct 12, 2018, 7:16:30 PM",CHI TOWN BABY,Run,Hamilton tonight!!! ⭐️,4578,18.04,,false,Black,activities/2035036751.fit.gz
1902142430,"Oct 13, 2018, 12:58:27 PM",Numb by Lincoln Park,Run,Cold one today. First long tights/gloves/hat run of the season. ,4260,15.99,,false,Black,activities/2036582312.fit.gz
1904971044,"Oct 14, 2018, 12:54:05 PM",They don’t call it the ‘Windy City’ for no reason,Run,Temp was great but the wind off Lake Michigan was something to behold. Beautiful run nonetheless ,6639,27.38,,false,Black,activities/2039557446.fit.gz
1907233101,"Oct 15, 2018, 1:25:27 PM",Foxhaven ,Run,"",3775,13.64,,false,Black,activities/2041920934.fit.gz
1907233320,"Oct 15, 2018, 10:19:23 PM",Evening Double,Run,"",1896,7.15,,false,Black,activities/2041921168.fit.gz
1908418475,"Oct 16, 2018, 1:18:45 PM",Morning Run,Run,,1743,6.52,,false,Black,activities/2043144830.fit.gz
1908418971,"Oct 16, 2018, 1:58:09 PM",Ridge Road Tempo,Run,Tempo with the group this morning. Those hills hurt just like I remember! ,1688,8.40,,false,Black,activities/2043145299.fit.gz
1908421479,"Oct 16, 2018, 2:28:21 PM",Morning Run,Run,,858,3.25,,false,Black,activities/2043145533.fit.gz
1910464882,"Oct 17, 2018, 1:26:20 PM",Easy Panorama Miles ,Run,"",3677,13.67,,false,Black,activities/2045249622.fit.gz
1910475227,"Oct 16, 2018, 9:27:14 PM",Double,Run,,1716,6.43,,false,Black,
1913351253,"Oct 18, 2018, 11:59:59 AM",Main Street OnB,Run,Stopped my watch when we flipped and didn’t restart for half a mile 🤦‍♂️,3930,13.89,,false,Black,activities/2048216525.fit.gz
1913351408,"Oct 18, 2018, 9:01:18 PM",Dubl,Run,"",1852,7.03,,false,Black,activities/2048216744.fit.gz
1914425925,"Oct 19, 2018, 1:21:04 PM",Like I never left ,Run,8x45s hard off 45s on the grass in the middle of the run,4272,14.76,,false,Black,activities/2049327300.fit.gz
1916575167,"Oct 20, 2018, 1:07:09 PM",Reebok takes on Dick Woods,Run,"",6162,26.20,,false,Black,activities/2051548495.fit.gz
1917215911,"Oct 20, 2018, 9:25:28 PM",Afternoon Run,Run,,1234,4.40,,false,Black,activities/2052214173.fit.gz
1920830761,"Oct 21, 2018, 5:50:36 PM",Afternoon Run,Run,,2979,11.26,,false,Black,activities/2056014320.fit.gz
1920831393,"Oct 22, 2018, 1:28:17 PM",Cville loopedy loop,Run,"",3796,13.92,,false,Black,activities/2056014943.fit.gz
1921524922,"Oct 22, 2018, 9:07:58 PM",Afternoon Run,Run,,1931,7.03,,false,Black,activities/2056724995.fit.gz
1922841998,"Oct 23, 2018, 1:25:40 PM",Warm up,Run,"",1479,5.55,,false,Black,activities/2058086330.fit.gz
1922842386,"Oct 23, 2018, 2:15:16 PM",8x800 off 70s at Panorama,Run,"First time doing this particular loop so the goal was conservative, aiming for 2.25-2.30. Felt really good today. Nice to have a group of 7. 

2.16, 2.24, 2.22, 2.20, 2.19, 2.20, 2.16, 2.12

",1599,8.01,,false,Black,activities/2058086752.fit.gz
1922845034,"Oct 23, 2018, 2:42:50 PM",Warm down,Run,6x20s hard off 20s thrown into the cooldown. Glorified strides,1184,4.62,,false,Black,activities/2058089392.fit.gz
1924801491,"Oct 23, 2018, 9:40:47 PM",Afternoon Run,Run,,1798,6.91,,false,Black,activities/2060102969.fit.gz
1924802023,"Oct 24, 2018, 1:24:31 PM",Ridge Road Recovery Run,Run,"",3620,14.02,,false,Black,activities/2060103519.fit.gz
1925594234,"Oct 24, 2018, 10:10:36 PM",Evening saunter with philo,Run,"",1896,5.40,,false,Black,activities/2060912864.fit.gz
1928499042,"Oct 25, 2018, 4:54:53 PM",Lunch Run,Run,,4180,16.45,,false,Black,activities/2063887700.fit.gz
1928499153,"Oct 26, 2018, 1:32:51 PM",Morning Run,Run,,1564,5.79,,false,Black,activities/2063887917.fit.gz
1928499541,"Oct 26, 2018, 2:09:27 PM",Keene Loop Fartlek,Run,"4x6 minutes off 2 minutes
4x1 minute off 1 minute

Felt good through the first 2, then it was just trying to stick with Justyn Kemoy and Rob. Survived another day",2456,12.04,,false,Black,activities/2063888365.fit.gz
